"species","pop","GSD","GAD","ASD"
"S","S11",5.44,5.31,4.42
"S","S11",5.89,4.19,2.49
"S","S21",4.76,4.73,3.3
"S","S21",6.35,4.33,1.18
"S","S21",5.11,3.59,2.38
"S","S21",5.36,4.13,2.59
"S","S21",4.75,6,2.76
"S","S21",5.46,6.63,4.66
"S","S21",4.23,4.76,3.27
"S","S21",6.3,4.1,1.78
"S","S21",6.07,4.96,4.24
"S","S21",5.01,5.09,2.77
"S","S21",5.2,6.5,3.54
"S","S21",4.68,6.08,3.7
"S","S21",4.94,5.81,3.29
"S","S21",5.47,6.24,3.71
"S","S12",5.45,4.68,2.64
"S","S12",5.16,3.48,1.4
"S","S12",5.19,5.33,4.14
"S","S12",6.83,5.62,1.59
"S","S12",5.36,5.14,2.71
"S","S12",4.82,4.79,1.32
"S","S12",4.83,4.58,1.58
"S","S12",5.08,5.4,1.84
"S","S12",4.69,5.21,2.81
"S","S12",3.76,4.63,2.97
"S","S12",4.58,5.29,3.35
"S","S12",4.66,3.93,3.28
"S","S12",4.84,4.87,1.46
"S","S12",4.67,3.75,2.84
"S","S12",5.41,4.11,1.98
"S","S12",5.01,4.15,2.9
"S","S12",4.98,4.63,3.21
"S","S12",4.61,3.49,3.16
"S","S12",2.44,4.02,2.03
"S","S12",7.42,4.55,2.37
"S","S12",7.6,5.38,3.07
"S","S12",7.53,4.56,3.47
"S","S12",6.02,3.47,4.49
"S","S12",5.64,5.74,3.19
"S","S12",6.38,5.41,2.67
"S","S27",6.06,4,3.96
"S","S27",5.35,4.31,3.35
"S","S27",6.5,4.88,2.64
"S","S27",5.98,4.81,5.04
"S","S27",4.89,5.27,4.18
"S","S27",5.4,4.04,2.55
"S","S27",4.63,3.44,2.66
"S","S27",5.44,4.56,2.56
"S","S27",5.26,4.96,3.11
"S","S27",5.23,5.64,1.68
"S","S27",5.48,3.8,4.09
"S","S27",6.42,4.75,3.21
"S","S27",4.52,3.64,2.36
"S","S27",4.57,3.23,3.57
"S","S27",6.78,3.93,3.23
